City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
59,Cabo San Lucas,MX,2021-05-27 02:53:58,22.8909,-109.9124,87.8,52,85,15.17
60,Niquero,CU,2021-05-27 02:53:58,20.0431,-77.5828,77.27,86,7,14.9
61,Hirara,JP,2021-05-27 02:53:59,24.8,125.2833,89.87,74,75,20.71
62,Taboga,IT,2021-05-27 02:53:59,46.2663,13.1092,56.21,89,98,5.03
63,Avallon,FR,2021-05-27 02:54:00,47.4833,3.9,53.47,98,100,1.43
64,Pevek,RU,2021-05-27 02:54:00,69.7008,170.3133,33.35,90,15,1.97
65,Husavik,IS,2021-05-27 02:54:01,66.0449,-17.3389,39.11,78,32,10.74
66,Agua Branca,BR,2021-05-27 02:54:01,-5.8922,-42.6361,72.19,56,8,3.98
67,Pesochnoye,RU,2021-05-27 02:54:02,58.006,39.1772,56.08,97,100,5.3
68,Moose Factory,CA,2021-05-27 02:54:02,51.2585,-80.6094,33.8,86,90,11.5
69,Santa Cecilia,BR,2021-05-27 02:54:03,-26.9608,-50.4269,46.0,72,7,2.98
70,Bengkulu,ID,2021-05-27 02:54:03,-3.8004,102.2655,87.75,59,53,1.28
71,Humboldt,US,2021-05-27 02:54:04,40.6665,-123.9178,47.84,83,76,3.49
72,Tasiilaq,GL,2021-05-27 02:54:04,65.6145,-37.6368,38.53,94,100,26.19
73,Huarmey,PE,2021-05-27 02:54:04,-10.0681,-78.1522,67.12,90,60,3.44
74,Touros,BR,2021-05-27 02:54:05,-5.1989,-35.4608,74.3,89,31,12.1
75,Broken Hill,AU,2021-05-27 02:54:05,-31.95,141.4333,58.71,58,0,12.66
76,Zhob,PK,2021-05-27 02:54:06,31.3411,69.4481,81.52,22,0,1.21
77,Dikson,RU,2021-05-27 02:54:06,73.5069,80.5464,29.97,94,100,11.72
78,Husum,DE,2021-05-27 02:54:07,54.4858,9.0524,49.89,98,99,9.19
79,New Norfolk,AU,2021-05-27 02:54:07,-42.7826,147.0587,53.1,42,73,8.05
80,Ponta Do Sol,PT,2021-05-27 02:54:08,32.6667,-17.1,65.71,73,100,4.09
81,Kyotera,UG,2021-05-27 02:54:08,-0.6156,31.5175,61.34,89,89,3.42
82,Sault Sainte Marie,CA,2021-05-27 02:49:51,46.5168,-84.3333,43.09,65,1,13.8
83,Kutum,SD,2021-05-27 02:54:09,14.2,24.6667,75.7,45,92,4.56
84,Ketchikan,US,2021-05-27 02:54:09,55.3422,-131.6461,49.98,79,100,2.04
85,Mukhen,RU,2021-05-27 02:54:10,48.1,136.1,64.89,42,15,5.37
86,Cockburn Town,TC,2021-05-27 02:54:10,21.4612,-71.1419,79.09,78,8,15.05
87,Hermanus,ZA,2021-05-27 02:54:10,-34.4187,19.2345,56.89,72,98,4.47
88,Ghugus,IN,2021-05-27 02:54:11,19.9333,79.1333,95.74,32,74,16.96
89,Curaca,BR,2021-05-27 02:54:11,-8.9903,-39.9094,70.84,84,7,14.23
90,Fairbanks,US,2021-05-27 02:51:15,64.8378,-147.7164,64.74,34,90,8.05
91,Lagoa,PT,2021-05-27 02:54:12,39.05,-27.9833,58.84,66,100,14.76
92,Grand Gaube,MU,2021-05-27 02:54:12,-20.0064,57.6608,72.0,83,6,1.01
93,Sitka,US,2021-05-27 02:54:13,57.0531,-135.33,50.41,75,86,5.01
94,Leningradskiy,RU,2021-05-27 02:54:13,69.3833,178.4167,36.05,80,21,5.93
95,Atuona,PF,2021-05-27 02:54:14,-9.8,-139.0333,79.45,75,81,13.87
96,Victoria,HK,2021-05-27 02:53:11,22.2855,114.1577,90.03,70,41,8.01
97,Male,MV,2021-05-27 02:54:14,4.1748,73.5089,82.35,83,75,21.85
98,Beaucaire,FR,2021-05-27 02:54:15,43.8081,4.6442,57.02,89,13,8.34
99,Thompson,CA,2021-05-27 02:54:15,55.7435,-97.8558,41.16,38,20,5.75
100,Yellowknife,CA,2021-05-27 02:53:17,62.456,-114.3525,50.56,32,90,4.0
101,Chuy,UY,2021-05-27 02:51:08,-33.6971,-53.4616,53.42,84,38,10.65
102,Staunton,US,2021-05-27 02:54:16,38.1496,-79.0717,72.09,67,1,7.7
103,Malanje,AO,2021-05-27 02:54:17,-9.5402,16.341,54.45,62,3,4.59
104,San Patricio,US,2021-05-27 02:54:17,28.017,-97.5169,80.69,86,1,11.95
105,Avarua,CK,2021-05-27 02:54:17,-21.2078,-159.775,82.45,83,75,8.05
